"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"2890","202","1400000US06037119341","Census Tract 1193.41, Los Angeles County, California"
"2911","240","1400000US06037119342","Census Tract 1193.42, Los Angeles County, California"
"5499","449","1400000US06037119400","Census Tract 1194, Los Angeles County, California"
"4913","411","1400000US06037119700","Census Tract 1197, Los Angeles County, California"
"6054","465","1400000US06037119800","Census Tract 1198, Los Angeles County, California"
"5245","401","1400000US06037119900","Census Tract 1199, Los Angeles County, California"
"2704","185","1400000US06037120010","Census Tract 1200.10, Los Angeles County, California"
"3872","383","1400000US06037120020","Census Tract 1200.20, Los Angeles County, California"
"2666","307","1400000US06037120030","Census Tract 1200.30, Los Angeles County, California"
"3452","399","1400000US06037120103","Census Tract 1201.03, Los Angeles County, California"
"2228","214","1400000US06037120104","Census Tract 1201.04, Los Angeles County, California"
"2832","261","1400000US06037120105","Census Tract 1201.05, Los Angeles County, California"
"4763","562","1400000US06037120106","Census Tract 1201.06, Los Angeles County, California"
"3893","287","1400000US06037120107","Census Tract 1201.07, Los Angeles County, California"
"4732","412","1400000US06037120108","Census Tract 1201.08, Los Angeles County, California"
"5238","495","1400000US06037120300","Census Tract 1203, Los Angeles County, California"
"6769","787","1400000US06037120400","Census Tract 1204, Los Angeles County, California"
"4934","413","1400000US06037121010","Census Tract 1210.10, Los Angeles County, California"
"3610","273","1400000US06037121020","Census Tract 1210.20, Los Angeles County, California"
"2862","324","1400000US06037121101","Census Tract 1211.01, Los Angeles County, California"
"2479","305","1400000US06037121102","Census Tract 1211.02, Los Angeles County, California"
"2926","384","1400000US06037121210","Census Tract 1212.10, Los Angeles County, California"
"2420","260","1400000US06037121221","Census Tract 1212.21, Los Angeles County, California"
"5139","695","1400000US06037121222","Census Tract 1212.22, Los Angeles County, California"
"2735","310","1400000US06037121600","Census Tract 1216, Los Angeles County, California"
"3127","462","1400000US06037121801","Census Tract 1218.01, Los Angeles County, California"
"3216","411","1400000US06037121802","Census Tract 1218.02, Los Angeles County, California"
"3761","504","1400000US06037121900","Census Tract 1219, Los Angeles County, California"
"5892","685","1400000US06037122000","Census Tract 1220, Los Angeles County, California"
"5011","704","1400000US06037122120","Census Tract 1221.20, Los Angeles County, California"
"2829","309","1400000US06037122121","Census Tract 1221.21, Los Angeles County, California"
"2728","282","1400000US06037122122","Census Tract 1221.22, Los Angeles County, California"
"3469","348","1400000US06037122200","Census Tract 1222, Los Angeles County, California"
"3457","409","1400000US06037122410","Census Tract 1224.10, Los Angeles County, California"
"4503","551","1400000US06037122420","Census Tract 1224.20, Los Angeles County, California"
"4027","316","1400000US06037123010","Census Tract 1230.10, Los Angeles County, California"
"3250","360","1400000US06037123020","Census Tract 1230.20, Los Angeles County, California"
"3808","407","1400000US06037123103","Census Tract 1231.03, Los Angeles County, California"
"4416","443","1400000US06037123104","Census Tract 1231.04, Los Angeles County, California"
"4094","362","1400000US06037123203","Census Tract 1232.03, Los Angeles County, California"
"3129","285","1400000US06037123204","Census Tract 1232.04, Los Angeles County, California"
"2492","233","1400000US06037123205","Census Tract 1232.05, Los Angeles County, California"
"2572","251","1400000US06037123206","Census Tract 1232.06, Los Angeles County, California"
"4530","383","1400000US06037123301","Census Tract 1233.01, Los Angeles County, California"
"3087","228","1400000US06037123303","Census Tract 1233.03, Los Angeles County, California"
"4362","354","1400000US06037123304","Census Tract 1233.04, Los Angeles County, California"
"4181","416","1400000US06037123410","Census Tract 1234.10, Los Angeles County, California"
"4408","404","1400000US06037123420","Census Tract 1234.20, Los Angeles County, California"
"4795","592","1400000US06037123510","Census Tract 1235.10, Los Angeles County, California"
"2816","234","1400000US06037123520","Census Tract 1235.20, Los Angeles County, California"
"4803","414","1400000US06037123601","Census Tract 1236.01, Los Angeles County, California"
"3659","257","1400000US06037123602","Census Tract 1236.02, Los Angeles County, California"
"4435","647","1400000US06037123700","Census Tract 1237, Los Angeles County, California"
"6018","464","1400000US06037123800","Census Tract 1238, Los Angeles County, California"
"4696","571","1400000US06037123901","Census Tract 1239.01, Los Angeles County, California"
"2668","271","1400000US06037123902","Census Tract 1239.02, Los Angeles County, California"
"5219","523","1400000US06037124000","Census Tract 1240, Los Angeles County, California"
"3551","338","1400000US06037124102","Census Tract 1241.02, Los Angeles County, California"
"1950","251","1400000US06037124103","Census Tract 1241.03, Los Angeles County, California"
"2492","212","1400000US06037124104","Census Tract 1241.04, Los Angeles County, California"
"2538","262","1400000US06037124105","Census Tract 1241.05, Los Angeles County, California"
"3348","268","1400000US06037124201","Census Tract 1242.01, Los Angeles County, California"
"2384","265","1400000US06037124203","Census Tract 1242.03, Los Angeles County, California"
"2192","333","1400000US06037124204","Census Tract 1242.04, Los Angeles County, California"
"2988","436","1400000US06037124300","Census Tract 1243, Los Angeles County, California"
"4858","273","1400000US06037124400","Census Tract 1244, Los Angeles County, California"
"2925","299","1400000US06037124500","Census Tract 1245, Los Angeles County, California"
"2691","292","1400000US06037124600","Census Tract 1246, Los Angeles County, California"
"5539","369","1400000US06037124700","Census Tract 1247, Los Angeles County, California"
"2706","281","1400000US06037124902","Census Tract 1249.02, Los Angeles County, California"
"3499","347","1400000US06037124903","Census Tract 1249.03, Los Angeles County, California"
"5892","452","1400000US06037125100","Census Tract 1251, Los Angeles County, California"
"3907","474","1400000US06037125200","Census Tract 1252, Los Angeles County, California"
"4313","587","1400000US06037125310","Census Tract 1253.10, Los Angeles County, California"
"5106","387","1400000US06037125320","Census Tract 1253.20, Los Angeles County, California"
"4966","543","1400000US06037125401","Census Tract 1254.01, Los Angeles County, California"
"4889","794","1400000US06037125402","Census Tract 1254.02, Los Angeles County, California"
"3052","286","1400000US06037125501","Census Tract 1255.01, Los Angeles County, California"
"3488","264","1400000US06037125502","Census Tract 1255.02, Los Angeles County, California"
"2811","328","1400000US06037125600","Census Tract 1256, Los Angeles County, California"
"5779","610","1400000US06037127102","Census Tract 1271.02, Los Angeles County, California"
"3109","432","1400000US06037127103","Census Tract 1271.03, Los Angeles County, California"
"3821","408","1400000US06037127104","Census Tract 1271.04, Los Angeles County, California"
"5838","646","1400000US06037127210","Census Tract 1272.10, Los Angeles County, California"
"5045","384","1400000US06037127220","Census Tract 1272.20, Los Angeles County, California"
"3809","398","1400000US06037127300","Census Tract 1273, Los Angeles County, California"
"6558","614","1400000US06037127400","Census Tract 1274, Los Angeles County, California"
"4870","365","1400000US06037127520","Census Tract 1275.20, Los Angeles County, California"
"3068","274","1400000US06037127603","Census Tract 1276.03, Los Angeles County, California"
"3157","399","1400000US06037127604","Census Tract 1276.04, Los Angeles County, California"
"4329","419","1400000US06037127605","Census Tract 1276.05, Los Angeles County, California"
"3322","414","1400000US06037127606","Census Tract 1276.06, Los Angeles County, California"
"3588","399","1400000US06037127711","Census Tract 1277.11, Los Angeles County, California"
"3560","404","1400000US06037127712","Census Tract 1277.12, Los Angeles County, California"
"4790","617","1400000US06037127803","Census Tract 1278.03, Los Angeles County, California"
"4352","292","1400000US06037127804","Census Tract 1278.04, Los Angeles County, California"
"3627","337","1400000US06037127805","Census Tract 1278.05, Los Angeles County, California"
"3293","402","1400000US06037127806","Census Tract 1278.06, Los Angeles County, California"
"5097","611","1400000US06037127910","Census Tract 1279.10, Los Angeles County, California"
"4716","352","1400000US06037127920","Census Tract 1279.20, Los Angeles County, California"
"3735","366","1400000US06037128101","Census Tract 1281.01, Los Angeles County, California"
"4625","385","1400000US06037128102","Census Tract 1281.02, Los Angeles County, California"
"5008","429","1400000US06037128210","Census Tract 1282.10, Los Angeles County, California"
"2912","249","1400000US06037128220","Census Tract 1282.20, Los Angeles County, California"
"5000","353","1400000US06037128302","Census Tract 1283.02, Los Angeles County, California"
"4176","402","1400000US06037128303","Census Tract 1283.03, Los Angeles County, California"
"4502","461","1400000US06037128400","Census Tract 1284, Los Angeles County, California"
"4108","400","1400000US06037128500","Census Tract 1285, Los Angeles County, California"
"4369","462","1400000US06037128601","Census Tract 1286.01, Los Angeles County, California"
"3472","329","1400000US06037128602","Census Tract 1286.02, Los Angeles County, California"
"5810","476","1400000US06037128702","Census Tract 1287.02, Los Angeles County, California"
"3419","271","1400000US06037128801","Census Tract 1288.01, Los Angeles County, California"
"4670","346","1400000US06037128802","Census Tract 1288.02, Los Angeles County, California"
"4657","214","1400000US06037128910","Census Tract 1289.10, Los Angeles County, California"
"6686","502","1400000US06037131010","Census Tract 1310.10, Los Angeles County, California"
"6704","569","1400000US06037131020","Census Tract 1310.20, Los Angeles County, California"
"3197","232","1400000US06037131100","Census Tract 1311, Los Angeles County, California"
"3417","258","1400000US06037131200","Census Tract 1312, Los Angeles County, California"
"5102","305","1400000US06037131300","Census Tract 1313, Los Angeles County, California"
"6367","556","1400000US06037131400","Census Tract 1314, Los Angeles County, California"
"5336","738","1400000US06037131600","Census Tract 1316, Los Angeles County, California"
"5587","416","1400000US06037131701","Census Tract 1317.01, Los Angeles County, California"
"3770","405","1400000US06037131702","Census Tract 1317.02, Los Angeles County, California"
"6157","548","1400000US06037131800","Census Tract 1318, Los Angeles County, California"
"4597","462","1400000US06037131900","Census Tract 1319, Los Angeles County, California"
"3463","406","1400000US06037132001","Census Tract 1320.01, Los Angeles County, California"
"3354","352","1400000US06037132002","Census Tract 1320.02, Los Angeles County, California"
"4645","445","1400000US06037132101","Census Tract 1321.01, Los Angeles County, California"
"5401","485","1400000US06037132102","Census Tract 1321.02, Los Angeles County, California"
"7912","749","1400000US06037132300","Census Tract 1323, Los Angeles County, California"
"4566","358","1400000US06037132501","Census Tract 1325.01, Los Angeles County, California"
"3922","377","1400000US06037132502","Census Tract 1325.02, Los Angeles County, California"
"4873","458","1400000US06037132700","Census Tract 1327, Los Angeles County, California"
"3885","287","1400000US06037132900","Census Tract 1329, Los Angeles County, California"
"4778","387","1400000US06037133000","Census Tract 1330, Los Angeles County, California"
"5609","374","1400000US06037133100","Census Tract 1331, Los Angeles County, California"
"3864","362","1400000US06037134001","Census Tract 1340.01, Los Angeles County, California"
"3665","322","1400000US06037134002","Census Tract 1340.02, Los Angeles County, California"
"5579","535","1400000US06037134101","Census Tract 1341.01, Los Angeles County, California"
"4659","443","1400000US06037134103","Census Tract 1341.03, Los Angeles County, California"
"4618","464","1400000US06037134104","Census Tract 1341.04, Los Angeles County, California"
"4735","372","1400000US06037134201","Census Tract 1342.01, Los Angeles County, California"
"4112","337","1400000US06037134302","Census Tract 1343.02, Los Angeles County, California"
"5942","469","1400000US06037134303","Census Tract 1343.03, Los Angeles County, California"
"3042","230","1400000US06037134304","Census Tract 1343.04, Los Angeles County, California"
"4183","401","1400000US06037134305","Census Tract 1343.05, Los Angeles County, California"
"4305","373","1400000US06037134306","Census Tract 1343.06, Los Angeles County, California"
"4234","277","1400000US06037134421","Census Tract 1344.21, Los Angeles County, California"
"4924","338","1400000US06037134422","Census Tract 1344.22, Los Angeles County, California"
"3539","222","1400000US06037134423","Census Tract 1344.23, Los Angeles County, California"
"2916","146","1400000US06037134424","Census Tract 1344.24, Los Angeles County, California"
"6065","420","1400000US06037134520","Census Tract 1345.20, Los Angeles County, California"
"3691","366","1400000US06037134521","Census Tract 1345.21, Los Angeles County, California"
"4167","323","1400000US06037134522","Census Tract 1345.22, Los Angeles County, California"
"5836","546","1400000US06037134710","Census Tract 1347.10, Los Angeles County, California"
"5074","399","1400000US06037134720","Census Tract 1347.20, Los Angeles County, California"
"6399","356","1400000US06037134800","Census Tract 1348, Los Angeles County, California"
"3140","247","1400000US06037134901","Census Tract 1349.01, Los Angeles County, California"
"6919","850","1400000US06037134903","Census Tract 1349.03, Los Angeles County, California"
"4043","374","1400000US06037134904","Census Tract 1349.04, Los Angeles County, California"
"4552","380","1400000US06037134905","Census Tract 1349.05, Los Angeles County, California"
"3726","229","1400000US06037135102","Census Tract 1351.02, Los Angeles County, California"
"3313","360","1400000US06037135111","Census Tract 1351.11, Los Angeles County, California"
"3485","369","1400000US06037135113","Census Tract 1351.13, Los Angeles County, California"
"5106","465","1400000US06037135114","Census Tract 1351.14, Los Angeles County, California"
"2788","204","1400000US06037135201","Census Tract 1352.01, Los Angeles County, California"
"4708","388","1400000US06037135202","Census Tract 1352.02, Los Angeles County, California"
"7515","440","1400000US06037135203","Census Tract 1352.03, Los Angeles County, California"
"5067","247","1400000US06037137000","Census Tract 1370, Los Angeles County, California"
"5382","426","1400000US06037137103","Census Tract 1371.03, Los Angeles County, California"
"2754","290","1400000US06037137104","Census Tract 1371.04, Los Angeles County, California"
"6029","617","1400000US06037137201","Census Tract 1372.01, Los Angeles County, California"
"2271","192","1400000US06037137301","Census Tract 1373.01, Los Angeles County, California"
"4449","258","1400000US06037137302","Census Tract 1373.02, Los Angeles County, California"
"4299","338","1400000US06037137401","Census Tract 1374.01, Los Angeles County, California"
"5365","521","1400000US06037137402","Census Tract 1374.02, Los Angeles County, California"
"4915","492","1400000US06037137501","Census Tract 1375.01, Los Angeles County, California"
"4549","390","1400000US06037137502","Census Tract 1375.02, Los Angeles County, California"
"2155","242","1400000US06037137504","Census Tract 1375.04, Los Angeles County, California"
"4780","283","1400000US06037138000","Census Tract 1380, Los Angeles County, California"
"5639","404","1400000US06037139001","Census Tract 1390.01, Los Angeles County, California"
"5662","517","1400000US06037139200","Census Tract 1392, Los Angeles County, California"
"4445","364","1400000US06037139301","Census Tract 1393.01, Los Angeles County, California"
"5000","526","1400000US06037139302","Census Tract 1393.02, Los Angeles County, California"
"4260","319","1400000US06037139303","Census Tract 1393.03, Los Angeles County, California"
"2706","228","1400000US06037139401","Census Tract 1394.01, Los Angeles County, California"
"2899","251","1400000US06037139402","Census Tract 1394.02, Los Angeles County, California"
"2917","288","1400000US06037139502","Census Tract 1395.02, Los Angeles County, California"
"5946","553","1400000US06037139503","Census Tract 1395.03, Los Angeles County, California"
"3998","355","1400000US06037139504","Census Tract 1395.04, Los Angeles County, California"
"5060","415","1400000US06037139600","Census Tract 1396, Los Angeles County, California"
"5320","498","1400000US06037139701","Census Tract 1397.01, Los Angeles County, California"
"6447","473","1400000US06037139702","Census Tract 1397.02, Los Angeles County, California"
